Dia;       Wednesday, 06. July 2022;  Hora de Inicio;    15:52:49
Hora [HH:MM:SS]; Temperatura[Celsius];  Humedad[%];  OK?[I/O]
16:00:52; 28.40; 37.00;  1
16:00:53; 28.40; 37.00;  1
16:00:55; 28.40; 37.00;  1
16:00:56; 28.40; 37.00;  1
16:00:57; 28.40; 37.00;  1
16:00:58; 28.40; 37.00;  1
16:00:59; 28.40; 36.00;  1
16:01:00; 28.40; 36.00;  1
16:01:01; 28.40; 37.00;  1
16:01:02; 28.40; 37.00;  1
16:01:03; 28.40; 37.00;  1
16:01:04; 28.40; 37.00;  1
16:01:05; 28.40; 36.00;  1
16:01:06; 28.40; 36.00;  1
16:01:07; 28.40; 37.00;  1
16:01:08; 28.40; 37.00;  1
16:01:09; 28.40; 36.00;  1
16:01:10; 28.40; 36.00;  1
16:01:11; 28.40; 37.00;  1
16:01:12; 28.40; 37.00;  1
16:01:13; 28.40; 36.00;  1
16:01:14; 28.40; 36.00;  1
16:01:15; 28.40; 36.00;  1
16:01:16; 28.40; 36.00;  1
16:01:17; 28.40; 36.00;  1
16:01:18; 28.40; 36.00;  1
16:01:19; 28.40; 36.00;  1
16:01:20; 28.40; 36.00;  1
16:01:21; 28.40; 36.00;  1
16:01:22; 28.40; 36.00;  1
16:01:23; 28.40; 36.00;  1
16:01:24; 28.40; 36.00;  1
16:01:25; 28.40; 36.00;  1
16:01:26; 28.40; 36.00;  1
16:01:27; 28.40; 36.00;  1
16:01:28; 28.40; 36.00;  1
16:01:29; 28.40; 36.00;  1
16:01:30; 28.40; 36.00;  1
16:01:31; 28.40; 36.00;  1
16:01:32; 28.40; 36.00;  1
16:01:33; 28.40; 36.00;  1
16:01:34; 28.40; 36.00;  1
16:01:35; 28.40; 36.00;  1
16:01:36; 28.40; 36.00;  1
16:01:37; 28.40; 36.00;  1
16:01:38; 28.40; 36.00;  1
16:01:39; 28.40; 36.00;  1
16:01:40; 28.40; 36.00;  1
16:01:41; 28.40; 36.00;  1
16:01:42; 28.40; 36.00;  1
16:01:43; 28.40; 36.00;  1
16:01:44; 28.40; 36.00;  1
16:01:45; 28.40; 36.00;  1
16:01:46; 28.40; 36.00;  1
16:01:47; 28.40; 37.00;  1
16:01:48; 28.40; 37.00;  1
16:01:49; 28.40; 37.00;  1
16:01:50; 28.40; 37.00;  1
16:01:51; 28.40; 37.00;  1
16:01:52; 28.40; 37.00;  1
16:01:53; 28.40; 37.00;  1
16:01:54; 28.40; 37.00;  1
16:01:55; 28.40; 37.00;  1
16:01:56; 28.40; 37.00;  1
16:01:57; 28.40; 37.00;  1
16:01:58; 28.40; 37.00;  1
16:01:59; 28.50; 37.00;  1
16:02:00; 28.50; 37.00;  1
16:02:01; 28.40; 37.00;  1
16:02:02; 28.40; 37.00;  1
16:02:03; 28.40; 37.00;  1
16:02:04; 28.40; 37.00;  1
16:02:05; 28.40; 37.00;  1
16:02:06; 28.40; 37.00;  1
16:02:07; 28.50; 37.00;  1
16:02:08; 28.50; 37.00;  1
16:02:09; 28.40; 37.00;  1
16:02:10; 28.40; 37.00;  1
16:02:11; 28.50; 37.00;  1
16:02:12; 28.50; 37.00;  1
16:02:13; 28.40; 37.00;  1
16:02:14; 28.40; 37.00;  1
16:02:16; 28.40; 37.00;  1
16:02:17; 28.40; 37.00;  1
16:02:18; 28.50; 37.00;  1
16:02:19; 28.50; 37.00;  1
16:02:20; 28.40; 37.00;  1
16:02:21; 28.40; 37.00;  1
16:02:22; 28.40; 37.00;  1
16:02:23; 28.40; 37.00;  1
16:02:24; 28.50; 37.00;  1
16:02:25; 28.50; 37.00;  1
16:02:26; 28.50; 37.00;  1
16:02:27; 28.50; 37.00;  1
16:02:28; 28.50; 37.00;  1
16:02:29; 28.50; 37.00;  1
16:02:30; 28.50; 37.00;  1
16:02:31; 28.50; 37.00;  1
16:02:32; 28.40; 37.00;  1
16:02:33; 28.40; 37.00;  1
16:02:34; 28.50; 37.00;  1
16:02:35; 28.50; 37.00;  1
16:02:36; 28.50; 37.00;  1
16:02:37; 28.50; 37.00;  1
16:02:38; 28.50; 37.00;  1
16:02:39; 28.50; 37.00;  1
16:02:40; 28.50; 37.00;  1
16:02:41; 28.50; 37.00;  1
16:02:42; 28.50; 37.00;  1
16:02:43; 28.50; 37.00;  1
16:02:44; 28.50; 37.00;  1
16:02:45; 28.50; 37.00;  1
16:02:46; 28.50; 37.00;  1
16:02:47; 28.50; 37.00;  1
16:02:48; 28.50; 37.00;  1
16:02:49; 28.50; 37.00;  1
16:02:50; 28.50; 37.00;  1
16:02:51; 28.50; 37.00;  1
16:02:52; 28.50; 37.00;  1
16:02:53; 28.50; 37.00;  1
16:02:54; 28.50; 37.00;  1
16:02:55; 28.50; 37.00;  1
16:02:56; 28.50; 37.00;  1
16:02:57; 28.50; 37.00;  1
16:02:58; 28.50; 37.00;  1
16:02:59; 28.50; 37.00;  1
16:03:00; 28.50; 37.00;  1
16:03:01; 28.50; 37.00;  1
16:03:02; 28.50; 37.00;  1
16:03:03; 28.50; 37.00;  1
16:03:04; 28.40; 37.00;  1
16:03:05; 28.40; 37.00;  1
16:03:06; 28.50; 37.00;  1
16:03:07; 28.50; 37.00;  1
16:03:08; 28.50; 37.00;  1
16:03:09; 28.50; 37.00;  1
16:03:10; 28.50; 37.00;  1
16:03:11; 28.50; 37.00;  1
16:03:12; 28.50; 37.00;  1
16:03:13; 28.50; 37.00;  1
16:03:14; 28.40; 37.00;  1
16:03:15; 28.40; 37.00;  1
16:03:16; 28.50; 37.00;  1
16:03:17; 28.50; 37.00;  1
16:03:18; 28.50; 37.00;  1
16:03:19; 28.50; 37.00;  1
16:03:20; 28.40; 37.00;  1
16:03:21; 28.40; 37.00;  1
16:03:22; 28.40; 37.00;  1
16:03:23; 28.40; 37.00;  1
16:03:24; 28.50; 36.00;  1
16:03:25; 28.50; 36.00;  1
16:03:26; 28.50; 37.00;  1
16:03:27; 28.50; 37.00;  1
16:03:28; 28.50; 37.00;  1
16:03:29; 28.50; 37.00;  1
16:03:30; 28.40; 36.00;  1
16:03:31; 28.40; 36.00;  1
16:03:32; 28.50; 36.00;  1
16:03:33; 28.50; 36.00;  1
